Performance Statistics   2019-07-11 18:36:00 - 2019-07-11 18:38:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
utilitylibrary_Status.edit#create                        1,0           1           1         0,0           1
utilitylibrary_Status.edit#init                          2,0           2           2         0,0           1
utilitylibrary_Status.edit#inject                       13,0          13          13         0,0           1
utilitylibrary_Status.edit#load                        579,0         579         579         0,0           1
utilitylibrary_Status.edit#uiPermissions                 0,0           0           0         0,0           1
utilitylibrary_Status.edit#xml                           3,0           3           3         0,0           1

Performance Statistics   2019-07-11 21:14:00 - 2019-07-11 21:16:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.utilitylibrary_Status.browse                 1188,0        1188        1188         0,0           1
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   0,0           0           0         0,0           1
loginWindow#create                                     277,0         277         277         0,0           1
loginWindow#init                                        33,0          33          33         0,0           1
loginWindow#inject                                      74,0          74          74         0,0           1
loginWindow#load                                       945,0         945         945         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                         14,5           0          29        14,5           2
mainWindow#afterShow                                     6,0           6           6         0,0           1
mainWindow#beforeShow                                    0,0           0           0         0,0           1
mainWindow#create                                       14,0          14          14         0,0           1
mainWindow#init                                         35,0          35          35         0,0           1
mainWindow#inject                                       20,0          20          20         0,0           1
mainWindow#load                                        486,0         486         486         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           2,5           0           5         2,5           2
utilitylibrary_Status.browse#afterShow                   6,0           6           6         0,0           1
utilitylibrary_Status.browse#beforeShow                 27,0          27          27         0,0           1
utilitylibrary_Status.browse#create                     19,0          19          19         0,0           1
utilitylibrary_Status.browse#init                        1,0           1           1         0,0           1
utilitylibrary_Status.browse#inject                      1,0           1           1         0,0           1
utilitylibrary_Status.browse#load                      985,0         985         985         0,0           1
utilitylibrary_Status.browse#uiPermissions               0,0           0           0         0,0           1
utilitylibrary_Status.browse#xml                         5,0           5           5         0,0           1
utilitylibrary_Status.edit#create                        1,0           1           1         0,0           1
utilitylibrary_Status.edit#init                          2,0           2           2         0,0           1
utilitylibrary_Status.edit#inject                       12,0          12          12         0,0           1
utilitylibrary_Status.edit#load                        574,0         574         574         0,0           1
utilitylibrary_Status.edit#uiPermissions                 0,0           0           0         0,0           1
utilitylibrary_Status.edit#xml                           5,0           5           5         0,0           1

Performance Statistics   2019-07-11 21:16:00 - 2019-07-11 21:18:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.utilitylibrary_Status.browse                 1354,0        1354        1354         0,0           1
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   0,0           0           0         0,0           1
loginWindow#create                                     334,0         334         334         0,0           1
loginWindow#init                                        33,0          33          33         0,0           1
loginWindow#inject                                      79,0          79          79         0,0           1
loginWindow#load                                       925,0         925         925         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                         16,0           0          32        16,0           2
mainWindow#afterShow                                     5,0           5           5         0,0           1
mainWindow#beforeShow                                    0,0           0           0         0,0           1
mainWindow#create                                       14,0          14          14         0,0           1
mainWindow#init                                         30,0          30          30         0,0           1
mainWindow#inject                                       17,0          17          17         0,0           1
mainWindow#load                                        466,0         466         466         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           2,5           0           5         2,5           2
utilitylibrary_Status.browse#afterShow                   8,0           8           8         0,0           1
utilitylibrary_Status.browse#beforeShow                 29,0          29          29         0,0           1
utilitylibrary_Status.browse#create                     17,0          17          17         0,0           1
utilitylibrary_Status.browse#init                        3,0           3           3         0,0           1
utilitylibrary_Status.browse#inject                      0,0           0           0         0,0           1
utilitylibrary_Status.browse#load                     1119,0        1119        1119         0,0           1
utilitylibrary_Status.browse#uiPermissions               0,0           0           0         0,0           1
utilitylibrary_Status.browse#xml                         6,0           6           6         0,0           1
utilitylibrary_Status.edit#create                        1,0           1           1         0,0           1
utilitylibrary_Status.edit#load                        672,0         672         672         0,0           1
utilitylibrary_Status.edit#xml                           5,0           5           5         0,0           1

Performance Statistics   2019-07-11 21:18:00 - 2019-07-11 21:20:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
utilitylibrary_Status.edit#init                          3,0           3           3         0,0           1
utilitylibrary_Status.edit#inject                       20,0          20          20         0,0           1
utilitylibrary_Status.edit#uiPermissions                 0,0           0           0         0,0           1

Performance Statistics   2019-07-11 21:18:00 - 2019-07-11 21:20:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   0,0           0           0         0,0           1
loginWindow#create                                     337,0         337         337         0,0           1
loginWindow#init                                        36,0          36          36         0,0           1
loginWindow#inject                                      76,0          76          76         0,0           1
loginWindow#load                                      1214,0        1214        1214         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                         13,0           0          26        13,0           2
mainWindow#afterShow                                     9,0           9           9         0,0           1
mainWindow#beforeShow                                    0,0           0           0         0,0           1
